Product URL,Title,Image URL,MPN,Breadcrumb,Specs
https://www.grainger.com/product/GRAINGER-APPROVED-Chair-Corner-Braces-Steel-1WDN1,"GRAINGER APPROVED Chair/ Corner Braces: Steel, Antique Bronze, 1 2/5 in Lg, 4 PK",https://static.grainger.com/rp/s/is/image/Grainger/1WDN1-A3020-1_v2?$adapimg$&hei=536&wid=536,1WDN1,Product Categories / Hardware / Braces and Brackets / Braces and Reinforcement Hardware,"{'Brand': 'GRAINGER APPROVED', 'Material': 'Steel', 'Finish': 'Antique Bronze', 'Size (In.)': '1 in', 'Width (In.)': '3/4 in', 'Length (In.)': '1-2/5 in', 'Holes per Leaf': '1', 'Holes': 'With', 'Mounting Holes': '2, 1 Each Side', 'Hardware': 'Included', 'Package Quantity': '4', 'UNSPSC': '31162503', 'Country of Origin': 'China'}"
https://www.grainger.com/product/GRAINGER-APPROVED-Corner-Brace-Decorative-1XMP4,"GRAINGER APPROVED Corner Brace: Decorative, Brass, Polished Brass, 1 7/10 in Lg, 9/16 in Ht, 4 PK",https://static.grainger.com/rp/s/is/image/Grainger/1XMP4-A3020-1_v2?$adapimg$&hei=536&wid=536,1XMP4,Product Categories / Hardware / Braces and Brackets / Braces and Reinforcement Hardware,"{'Brand': 'GRAINGER APPROVED', 'Type': 'Decorative', 'Material': 'Brass', 'Finish': 'Polished Brass', 'Size (In.)': '1-1/2 in', 'Width (In.)': '1-7/10 in', 'Length (In.)': '1-7/10 in', 'Height (In.)': '9/16 in', 'Holes per Leaf': '1', 'Holes': 'With', 'Mounting Holes': '2', 'Hardware': 'Included', 'Package Quantity': '4', 'UNSPSC': '31162503', 'Country of Origin': 'China'}"
https://www.grainger.com/product/GRAINGER-APPROVED-Support-Brace-150-in-Max-Service-3CA83,"GRAINGER APPROVED Support Brace: 150 in Max. Service Ht (In.), 54 in Min. Service Ht (In.)",https://static.grainger.com/rp/s/is/image/Grainger/3CA83_AS01?$adapimg$&hei=536&wid=536,3CA83,Product Categories / Hardware / Braces and Brackets / Telescopic Support Braces,"{'Brand': 'GRAINGER APPROVED', 'Max. Service Height (In.)': '150 in', 'Min. Service Height (In.)': '54 in', 'Number of Sections': '3', 'Capacity @ Max. Height (Lb.)': '2,588', 'Capacity @ Min. Height (Lb.)': '11,200', 'Construction': 'Rugged All Welded Steel', 'Finish': 'Red Oxide', 'Function': 'Provide Extra Support for Leveling and Stabilizing Floor Beams and Joist during Construction and Repair Clevis Pin; Provides Easy Installation or Removal from Chain', 'Includes': 'Screw and Turning Bar for Easy Height Adjustment', 'UNSPSC': '31162503', 'Country of Origin': 'China'}"
https://www.grainger.com/product/PRIME-LINE-Shelf-Support-Peg-Metal-45UZ09,"PRIME-LINE Shelf Support Peg: Metal, 20 lb Load Capacity (Lb.), Brass, 5mm, 1-1/8 in, 8 PK",https://static.grainger.com/rp/s/is/image/Grainger/45UZ01_AW01?$adapimg$&hei=536&wid=536,U 10170,Product Categories / Hardware / Braces and Brackets / Shelf Brackets and Supports,"{'Brand': 'PRIME-LINE', 'Material': 'Metal', 'Load Capacity (Lb.)': '20 lb', 'Color': 'Brass', 'Finish': 'Brass', 'Size (In.)': '5mm', 'Length (In.)': '1-1/8 in', 'Height (In.)': '11/16 in', 'Package Quantity': '8', 'Screw Size': '33/64 in', 'Product Type': 'Shelf Support Peg', 'UNSPSC': '24102004', 'Country of Origin': 'China'}"
https://www.grainger.com/product/TOLCO-Retrofit-Beam-Clamp-Retaining-21RX82,"Retrofit Beam Clamp Retaining Strap: Carbon Steel, 1/2 in, 16 in Lg, 1 7/32 in Wd, Galvanized",https://static.grainger.com/rp/s/is/image/Grainger/21RX68_AW01?$adapimg$&hei=536&wid=536,69 R,Product Categories / Hardware / Braces and Brackets / Seismic Bracing,"{'Brand': 'TOLCO', 'Product Type': 'Retrofit Beam Clamp Retaining Strap', 'Material': 'Carbon Steel', 'Nominal Conduit/Pipe/Threaded Rod': '1/2 in', 'Length': '16 in', 'Width': '1-7/32 in', 'Hole Size': '9/16 in', 'Finish': 'Galvanized', 'For Use With': 'Beam Clamps', 'Standards': 'cUL; TOLCO; UL', 'UNSPSC': '39121701', 'Country of Origin': 'USA'}"
https://www.grainger.com/product/GRAINGER-APPROVED-Handrail-Bracket-Single-Screw-1XNJ5,"GRAINGER APPROVED Handrail Bracket: Single Screw, Cast Zinc, Oil-Rubbed Bronze, 2 1/8 in Ht (In.)",https://static.grainger.com/rp/s/is/image/Grainger/1XNJ5_AS02?$adapimg$&hei=536&wid=536,1XNJ5,Product Categories / Hardware / Braces and Brackets / Handrail Brackets,"{'Brand': 'GRAINGER APPROVED', 'Type': 'Single Screw', 'Material': 'Cast Zinc', 'Finish': 'Oil-Rubbed Bronze', 'Height (In.)': '2-1/8 in', 'Width (In.)': '3-1/10 in', 'Dia. (In.)': '2.178 in', 'Base-Rail Center Clearance (In.)': '2-7/10 in', 'Includes': 'Hardware', 'Package Quantity': '1', 'UNSPSC': '24141506', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Power-Module-12-7-8-in-Lg-2VNH9,GROTE Power Module: 12 7/8 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/2VNH9_AS01?$adapimg$&hei=536&wid=536,43655,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Stop Tail Turn', 'Finish': 'Zinc', 'Depth (In.)': '2-5/8 in', 'Length (In.)': '12-7/8 in', 'Width (In.)': '7-3/4 in', 'UNSPSC': '25172901', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/BUYERS-PRODUCTS-Document-Holder-9-in-Lg-In-19A779,BUYERS PRODUCTS Document Holder: 9 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/19A779_AS01?$adapimg$&hei=536&wid=536,5201100,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'BUYERS PRODUCTS', 'Type': 'Metal', 'Finish': 'Stainless Steel', 'Depth (In.)': '4 in', 'Length (In.)': '9 in', 'Width (In.)': '5-3/4 in', 'Dia. (In.)': '1-5/8 in', 'Provides': 'Sealed Protection For Documents', 'Function': 'Document Holder', 'Includes': 'Mounting Bracket', 'UNSPSC': '44122016', 'Country of Origin': 'China'}"
https://www.grainger.com/product/GROTE-Vinyl-Permit-Holder-8-1-4-2CVN9,GROTE Vinyl Permit Holder: 8 1/4 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/2CVN9_AS01?$adapimg$&hei=536&wid=536,43411,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Zippered', 'Finish': 'Green', 'Length (In.)': '8-1/4 in', 'Width (In.)': '5-1/4 in', 'UNSPSC': '44122016', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Oval-Lamp-Mounting-Box-8-1-2CVN6,GROTE Oval Lamp Mounting Box: 8 1/4 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/2CVN6_AS01?$adapimg$&hei=536&wid=536,43100,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Steel', 'Finish': 'Black', 'Depth (In.)': '3-1/8 in', 'Length (In.)': '8-1/4 in', 'Width (In.)': '3-7/8 in', 'UNSPSC': '25172601', 'Country of Origin': 'Taiwan'}"
